Category: All categories

Month,border: (Sylhet Division),ministry: (Sylhet Division),houses: (Sylhet Division),house: (Sylhet Division),Email: (Sylhet Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,0
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,79,0
2014-03,0,0,0,0,100
2014-04,0,0,0,0,0
2014-05,0,0,0,76,0
2014-06,0,0,0,0,76
2014-07,0,0,0,59,0
2014-08,0,0,0,0,48
2014-09,0,0,0,48,0
2014-10,0,5,0,18,14
2014-11,0,11,0,26,22
2014-12,0,10,0,27,24
2015-01,7,13,0,28,21
2015-02,0,9,0,31,27
2015-03,0,9,0,32,17
2015-04,0,13,0,25,19
2015-05,0,15,0,33,19
2015-06,0,10,0,32,31
2015-07,0,0,0,71,82
2015-08,0,0,0,31,32
2015-09,0,0,0,41,32
2015-10,0,0,0,61,57
2015-11,0,58,0,0,60
2015-12,0,39,0,44,72
2016-01,0,35,0,26,43
2016-02,0,20,0,54,36
2016-03,0,15,0,49,38
2016-04,0,18,0,36,34
2016-05,0,16,0,61,39
2016-06,0,23,0,62,21
2016-07,0,23,0,50,42
2016-08,0,22,0,49,34
2016-09,0,20,0,48,25
2016-10,0,17,0,41,42
2016-11,0,10,0,49,33
2016-12,13,22,0,45,33
2017-01,0,22,0,48,37
2017-02,0,18,0,49,34
2017-03,0,17,0,49,29
2017-04,0,15,0,64,34
2017-05,7,13,0,61,35
2017-06,12,0,0,62,19
2017-07,7,11,0,46,33
2017-08,6,12,0,60,26
2017-09,10,12,0,56,21
2017-10,7,12,0,63,26
2017-11,13,14,0,54,31
2017-12,7,20,0,50,28
2018-01,5,15,0,41,26
2018-02,0,11,0,39,25
2018-03,6,18,0,49,35
2018-04,5,14,0,42,32
2018-05,0,22,0,40,25
2018-06,9,18,0,41,26
2018-07,11,23,0,52,32
2018-08,9,19,0,49,33
2018-09,9,20,0,41,26
2018-10,10,18,0,47,29
2018-11,8,11,0,45,32
2018-12,8,9,4,39,23
2019-01,6,18,0,40,25
2019-02,8,16,0,50,33
2019-03,5,14,0,39,34
2019-04,11,14,0,44,37
2019-05,8,16,0,33,45
2019-06,6,11,0,35,34
2019-07,11,14,3,43,37
2019-08,8,14,4,53,35
2019-09,11,13,3,43,34
2019-10,9,12,3,46,33
2019-11,7,9,4,42,33
2019-12,7,19,3,38,27
2020-01,7,14,4,39,30
2020-02,7,17,3,37,34
2020-03,7,16,3,37,34
2020-04,5,9,0,40,32
2020-05,6,13,0,40,32
2020-06,10,11,0,38,39
2020-07,9,10,3,45,41
2020-08,8,11,2,37,34
2020-09,6,10,0,39,35
2020-10,5,8,2,39,34
2020-11,6,9,0,38,30
2020-12,6,11,2,40,33
2021-01,6,9,2,42,28
2021-02,5,11,2,44,29
2021-03,5,12,3,41,29
2021-04,6,5,2,34,24
2021-05,4,6,0,35,25
2021-06,5,9,0,33,29
2021-07,4,8,2,33,23
2021-08,5,7,2,32,25
2021-09,4,7,2,35,24
2021-10,4,5,0,35,23
2021-11,5,4,2,30,26
2021-12,5,9,1,29,23
2022-01,7,10,1,33,24
2022-02,8,7,2,35,26
2022-03,6,6,2,37,27
2022-04,5,5,1,32,27
2022-05,5,4,1,33,28
2022-06,5,5,1,33,31
2022-07,5,4,1,32,27
2022-08,6,4,2,40,29
2022-09,6,5,2,43,35
2022-10,6,5,1,40,31
2022-11,4,8,1,29,31
2022-12,5,6,1,27,18
2023-01,5,6,1,30,21
2023-02,5,8,1,31,24
2023-03,4,5,1,29,23
2023-04,4,5,1,25,20
2023-05,4,5,1,28,29
2023-06,5,5,1,27,29
2023-07,5,8,0,29,23
2023-08,6,5,1,28,26
2023-09,6,6,1,25,26
2023-10,5,5,1,25,24
2023-11,5,5,1,28,25
2023-12,5,5,1,29,20
2024-01,5,5,1,26,21
2024-02,6,4,1,27,24
2024-03,4,4,0,27,22
2024-04,4,4,0,25,20
2024-05,5,6,0,25,21
2024-06,4,4,0,24,18
2024-07,4,4,0,27,21
2024-08,5,5,1,25,20
2024-09,6,5,1,24,23
2024-10,4,4,1,21,21
2024-11,5,4,1,24,22
2024-12,5,4,1,23,22
2025-01,5,3,1,24,24
2025-02,3,3,1,22,19
2025-03,4,2,0,21,19
2025-04,4,3,0,21,19
2025-05,4,3,0,21,20
2025-06,4,3,1,19,21
2025-07,5,4,0,21,20
2025-08,4,3,0,22,19
2025-09,4,2,<1,18,19
