Category: All categories

Month,clash: (Sylhet Division),fighter: (Sylhet Division),mortar: (Sylhet Division),rocket: (Sylhet Division),Email: (Sylhet Division)
2004-01,0,0,0,0,0
2004-02,0,0,0,0,0
2004-03,0,0,0,0,0
2004-04,0,0,0,0,0
2004-05,0,0,0,0,0
2004-06,0,0,0,0,0
2004-07,0,0,0,0,0
2004-08,0,0,0,0,0
2004-09,0,0,0,0,0
2004-10,0,0,0,0,0
2004-11,0,0,0,0,0
2004-12,0,0,0,0,0
2005-01,0,0,0,0,0
2005-02,0,0,0,0,0
2005-03,0,0,0,0,0
2005-04,0,0,0,0,0
2005-05,0,0,0,0,0
2005-06,0,0,0,0,0
2005-07,0,0,0,0,0
2005-08,0,0,0,0,0
2005-09,0,0,0,0,0
2005-10,0,0,0,0,0
2005-11,0,0,0,0,0
2005-12,0,0,0,0,0
2006-01,0,0,0,0,0
2006-02,0,0,0,0,0
2006-03,0,0,0,0,0
2006-04,0,0,0,0,0
2006-05,0,0,0,0,0
2006-06,0,0,0,0,0
2006-07,0,0,0,0,0
2006-08,0,0,0,0,0
2006-09,0,0,0,0,0
2006-10,0,0,0,0,0
2006-11,0,0,0,0,0
2006-12,0,0,0,0,0
2007-01,0,0,0,0,0
2007-02,0,0,0,0,0
2007-03,0,0,0,0,0
2007-04,0,0,0,0,0
2007-05,0,0,0,0,0
2007-06,0,0,0,0,0
2007-07,0,0,0,0,0
2007-08,0,0,0,0,0
2007-09,0,0,0,0,0
2007-10,0,0,0,0,0
2007-11,0,0,0,0,0
2007-12,0,0,0,0,0
2008-01,0,0,0,0,0
2008-02,0,0,0,0,0
2008-03,0,0,0,0,0
2008-04,0,0,0,0,0
2008-05,0,0,0,0,0
2008-06,0,0,0,0,0
2008-07,0,0,0,0,0
2008-08,0,0,0,0,0
2008-09,0,0,0,0,0
2008-10,0,0,0,0,0
2008-11,0,0,0,0,0
2008-12,0,0,0,0,0
2009-01,0,0,0,0,0
2009-02,0,0,0,0,0
2009-03,0,0,0,0,0
2009-04,0,0,0,0,0
2009-05,0,0,0,0,0
2009-06,0,0,0,0,0
2009-07,0,0,0,0,0
2009-08,0,0,0,0,0
2009-09,0,0,0,0,0
2009-10,0,0,0,0,0
2009-11,0,0,0,0,0
2009-12,0,0,0,0,0
2010-01,0,0,0,0,0
2010-02,0,0,0,0,0
2010-03,0,0,0,0,0
2010-04,0,0,0,0,0
2010-05,0,0,0,0,0
2010-06,0,0,0,0,0
2010-07,0,0,0,0,0
2010-08,0,0,0,0,0
2010-09,0,0,0,0,0
2010-10,0,0,0,0,0
2010-11,0,0,0,0,0
2010-12,0,0,0,0,0
2011-01,0,0,0,0,0
2011-02,0,0,0,0,0
2011-03,0,0,0,0,0
2011-04,0,0,0,0,0
2011-05,0,0,0,0,0
2011-06,0,0,0,0,0
2011-07,0,0,0,0,0
2011-08,0,0,0,0,0
2011-09,0,0,0,0,0
2011-10,0,0,0,0,0
2011-11,0,0,0,0,0
2011-12,0,0,0,0,0
2012-01,0,0,0,0,0
2012-02,0,0,0,0,0
2012-03,0,0,0,0,0
2012-04,0,0,0,0,0
2012-05,0,0,0,0,0
2012-06,0,0,0,0,0
2012-07,0,0,0,0,0
2012-08,0,0,0,0,0
2012-09,0,0,0,0,0
2012-10,0,0,0,0,0
2012-11,0,0,0,0,0
2012-12,0,0,0,0,0
2013-01,0,0,0,0,0
2013-02,0,0,0,0,0
2013-03,0,0,0,0,0
2013-04,0,0,0,0,0
2013-05,0,0,0,0,0
2013-06,0,0,0,0,0
2013-07,0,0,0,0,0
2013-08,0,0,0,0,100
2013-09,0,0,0,0,0
2013-10,0,0,0,0,0
2013-11,0,0,0,0,0
2013-12,0,0,0,0,0
2014-01,0,0,0,0,0
2014-02,0,0,0,0,0
2014-03,0,0,0,0,0
2014-04,0,0,0,0,0
2014-05,0,0,0,0,0
2014-06,0,0,0,0,38
2014-07,0,0,0,0,0
2014-08,0,0,0,0,25
2014-09,0,0,0,0,25
2014-10,5,4,0,0,9
2014-11,2,0,0,0,13
2014-12,7,0,0,0,13
2015-01,6,0,0,0,12
2015-02,6,7,0,0,15
2015-03,8,0,0,0,11
2015-04,10,0,0,0,11
2015-05,13,0,0,0,10
2015-06,10,0,0,0,16
2015-07,0,0,0,0,0
2015-08,20,0,0,0,19
2015-09,33,0,0,0,17
2015-10,24,0,0,0,28
2015-11,41,0,0,0,27
2015-12,20,0,0,0,39
2016-01,27,0,0,0,25
2016-02,28,0,0,0,17
2016-03,26,0,0,0,20
2016-04,16,0,0,0,16
2016-05,24,0,0,7,24
2016-06,25,0,0,0,17
2016-07,21,0,0,0,20
2016-08,18,0,0,0,19
2016-09,19,0,0,0,11
2016-10,17,0,0,0,23
2016-11,15,0,0,0,23
2016-12,22,0,0,0,18
2017-01,17,0,0,0,19
2017-02,16,0,0,0,20
2017-03,10,0,0,0,15
2017-04,11,5,0,0,17
2017-05,12,0,0,0,19
2017-06,13,0,0,0,12
2017-07,9,0,0,4,18
2017-08,10,0,0,0,19
2017-09,8,0,0,0,13
2017-10,8,0,0,0,15
2017-11,5,0,0,3,18
2017-12,9,3,0,0,17
2018-01,7,2,0,0,14
2018-02,8,2,0,2,13
2018-03,8,3,0,0,20
2018-04,7,0,0,3,18
2018-05,7,5,0,0,15
2018-06,6,0,0,0,15
2018-07,4,2,0,0,18
2018-08,5,0,0,2,19
2018-09,3,0,0,3,16
2018-10,5,2,0,3,16
2018-11,4,2,0,3,17
2018-12,5,0,0,3,13
2019-01,4,3,0,3,14
2019-02,5,0,0,0,20
2019-03,4,3,0,0,19
2019-04,3,0,0,2,21
2019-05,4,0,0,3,26
2019-06,3,2,0,3,20
2019-07,3,0,0,3,21
2019-08,5,0,0,3,19
2019-09,3,0,0,2,18
2019-10,3,2,0,2,19
2019-11,3,0,0,3,19
2019-12,4,0,0,3,15
2020-01,3,1,0,4,17
2020-02,3,0,0,2,19
2020-03,4,2,0,3,20
2020-04,4,0,0,5,18
2020-05,5,2,0,6,18
2020-06,4,3,0,4,22
2020-07,3,2,0,7,23
2020-08,3,2,0,3,20
2020-09,3,2,0,3,20
2020-10,2,2,0,2,21
2020-11,1,2,0,3,17
2020-12,2,2,0,3,18
2021-01,2,1,0,4,16
2021-02,3,2,0,3,16
2021-03,2,2,0,3,16
2021-04,2,1,1,2,14
2021-05,1,2,0,7,14
2021-06,1,1,0,3,16
2021-07,2,2,0,4,13
2021-08,2,2,0,3,15
2021-09,2,1,0,2,14
2021-10,1,1,0,2,13
2021-11,1,2,0,2,15
2021-12,1,1,0,2,12
2022-01,2,2,0,3,14
2022-02,1,2,0,3,14
2022-03,2,2,0,2,16
2022-04,2,2,0,2,16
2022-05,1,1,0,2,16
2022-06,2,2,0,2,17
2022-07,2,1,0,2,15
2022-08,2,2,0,2,17
2022-09,2,2,0,2,19
2022-10,2,1,<1,2,18
2022-11,1,1,0,2,19
2022-12,1,1,0,1,11
2023-01,1,1,0,2,12
2023-02,1,1,0,2,14
2023-03,1,1,0,1,13
2023-04,1,1,0,2,11
2023-05,1,1,0,2,16
2023-06,1,1,0,2,16
2023-07,1,1,0,2,13
2023-08,1,1,0,2,15
2023-09,1,1,0,2,15
2023-10,1,1,0,2,13
2023-11,2,1,0,2,15
2023-12,2,2,0,1,12
2024-01,1,5,0,2,12
2024-02,1,5,0,2,13
2024-03,1,3,0,2,12
2024-04,2,2,0,2,11
2024-05,1,2,0,2,12
2024-06,2,1,0,2,10
2024-07,1,1,0,2,12
2024-08,1,1,0,1,12
2024-09,2,1,0,1,13
2024-10,1,1,0,1,12
2024-11,1,2,0,2,13
2024-12,1,2,<1,2,12
2025-01,1,1,0,2,14
2025-02,1,1,0,1,10
2025-03,1,1,0,1,11
2025-04,1,1,0,1,11
2025-05,1,2,<1,1,11
2025-06,1,2,0,2,12
2025-07,1,2,0,1,11
2025-08,1,1,0,2,11
2025-09,1,1,<1,2,10
